explorerTitle	Sustainable Development Goals (SDGs) Data Explorer
googleSheet	https://docs.google.com/spreadsheets/d/1GpFsQUucqkshV0iHb4sgypKskuHQyl5I6_vtXJY2_Ss/edit#gid=0
isPublished	false
explorerSubtitle
selection	Nigeria	Bangladesh	India	South Africa	Brazil
subNavId
subNavCurrentId
wpBlockId
tab	map
graphers
	Goal Dropdown	Target Dropdown	Indicator Dropdown	grapherId
	16. Peace, Justice and Strong Institutions	16.3: Promote the rule of law and ensure equal access to justice	16.3.2 Unsentenced detainees	2104
	16. Peace, Justice and Strong Institutions	16.4: Combat organized crime & illicit financial & arms flows	16.4.1 Illicit financial flows
	16. Peace, Justice and Strong Institutions	16.4: Combat organized crime & illicit financial & arms flows	16.4.2 Seized or surrendered arms
	16. Peace, Justice and Strong Institutions	16.5: Substantially reduce corruption and bribery	16.5.1 Bribery prevalence	3862
	16. Peace, Justice and Strong Institutions	16.5: Substantially reduce corruption and bribery	16.5.2 Bribery in business	2018
	16. Peace, Justice and Strong Institutions	16.6: Develop effective, accountable & transparent institutions	16.6.1 Governmental expenditures within budgets	3863
	16. Peace, Justice and Strong Institutions	16.6: Develop effective, accountable & transparent institutions	16.6.2 Satisfaction with public services
	16. Peace, Justice and Strong Institutions	16.7: Ensure responsive, inclusive & representative decision-making	16.7.1 Representation in public institutions
	16. Peace, Justice and Strong Institutions	16.7: Ensure responsive, inclusive & representative decision-making	16.7.2 Inclusive decision-making
	16. Peace, Justice and Strong Institutions	16.8: Strengthen the participation in global governance	16.8.1 Share in international organizations	2070
	16. Peace, Justice and Strong Institutions	16.8: Strengthen the participation in global governance	16.8.1 Share of voting rights in international organizations	2069
	16. Peace, Justice and Strong Institutions	16.9: Provide universal legal identity	16.9.1 Birth registration	763
	16. Peace, Justice and Strong Institutions	16.10: Ensure public access to information & protect fundamental freedoms	16.10.1 Journalist and media killings	2106
	16. Peace, Justice and Strong Institutions	16.10: Ensure public access to information & protect fundamental freedoms	16.10.2 Public access to information	2105
	16. Peace, Justice and Strong Institutions	16.A: Strengthen national institutions to prevent violence and combat crime and terrorism	16.A.1 National human rights institutions	2108
	16. Peace, Justice and Strong Institutions	16.B: Promote & enforce non-discriminatory laws & policies	16.B.1 Public discrimination
	17. Partnership for the Goals	17.1: Mobilize resources to improve domestic revenue collection	17.1.1 Government revenue	1666
	17. Partnership for the Goals	17.1: Mobilize resources to improve domestic revenue collection	17.1.2 Domestic taxes	1665
	17. Partnership for the Goals	17.2: Implement all development assistance commitments	17.2.1 Assistance to least-developed countries	2110
	17. Partnership for the Goals	17.3: Mobilize financial resources for developing countries	17.3.1 Foreign direct investment	2020
	17. Partnership for the Goals	17.3: Mobilize financial resources for developing countries	17.3.2 Volume of remittances	2019
	17. Partnership for the Goals	17.4: Assist developing countries in attaining debt sustainability	17.4.1 Debt service	2021
	17. Partnership for the Goals	17.5: Invest in least-developed countries	17.5.1 Investment promotion for least-developed countries
	17. Partnership for the Goals	17.6: Knowledge sharing & cooperation for science, technology and innovation	17.6.1 Science and technology cooperation
	17. Partnership for the Goals	17.6: Knowledge sharing & cooperation for science, technology and innovation	17.6.2 Fixed broadband subscriptions	1627
	17. Partnership for the Goals	17.7: Promote sustainable technologies to developing countries	17.7.1 Sustainable technologies in developing countries
	17. Partnership for the Goals	17.8: Strengthen science, technology & innovation capacity for least-developed countries	17.8.1 Individuals using the Internet	755
	17. Partnership for the Goals	17.9: Enhanced SDG capacity in developing countries	17.9.1 SDG support for developing countries	2015
	17. Partnership for the Goals	17.10: Promote a universal trading system under the WTO	17.10.1 Weighted average tariffs	2022
	17. Partnership for the Goals	17.11: Increase the exports of developing countries	17.11.1 Exports from developing countries	2023
	17. Partnership for the Goals	17.12: Remove trade barriers for least-developed countries	17.12.1 Tariffs for developing countries	2024
	17. Partnership for the Goals	17.13: Enhance global macroeconomic stability	17.13.1 Macroeconomic Dashboard
	17. Partnership for the Goals	17.14: Enhance policy coherence for sustainable development	17.14.1 Policy for sustainable development
	17. Partnership for the Goals	17.15: Respect national leadership to implement policies for the sustainable development goals	17.15.1 National results frameworks	2113
	17. Partnership for the Goals	17.16: Enhance the global partnership for sustainable development	17.16.1 Progress in multistakeholder development	2114
	17. Partnership for the Goals	17.17: Encourage effective partnerships	17.17.1 Public, private and civil society partnerships
	17. Partnership for the Goals	17.18: Enhance availability of reliable data	17.18.1 Statistical Capacity	1904
	17. Partnership for the Goals	17.18: Enhance availability of reliable data	17.18.2 National statistical legislation	3864
	17. Partnership for the Goals	17.18: Enhance availability of reliable data	17.18.3 National statistical plans	2115
	17. Partnership for the Goals	17.19: Further develop measurements of progress	17.19.1 Resources for statistical capacity	3865
	17. Partnership for the Goals	17.19: Further develop measurements of progress	17.19.2 Completeness of census	2025
	17. Partnership for the Goals	17.19: Further develop measurements of progress	17.19.2 Completeness of birth registration	763
	17. Partnership for the Goals	17.19: Further develop measurements of progress	17.19.2 Completeness of death registration	822
