explorerTitle	Count - Question: 
selection	World

graphers
	question Dropdown	answer Dropdown	gender Dropdown	age_group Dropdown	yVariableIds	hasMapTab
	mh6 - Friends/family have been anxious/depressed	No	female	50-64	678478	true
	mh6 - Friends/family have been anxious/depressed	No	female	65+	678479	true
	mh6 - Friends/family have been anxious/depressed	No	female	Don't know/Refused	678481	true
	mh6 - Friends/family have been anxious/depressed	No	female	all	678483	true
	mh6 - Friends/family have been anxious/depressed	No	male	15-29	678485	true
	mh6 - Friends/family have been anxious/depressed	No	male	30-49	678487	true
	mh6 - Friends/family have been anxious/depressed	No	male	50-64	678489	true
	mh6 - Friends/family have been anxious/depressed	No	male	65+	678491	true
	mh6 - Friends/family have been anxious/depressed	No	male	Don't know/Refused	678493	true
	mh6 - Friends/family have been anxious/depressed	No	male	all	678495	true
	mh6 - Friends/family have been anxious/depressed	Yes	all	15-29	678497	true
	mh6 - Friends/family have been anxious/depressed	Yes	all	30-49	678499	true
	mh6 - Friends/family have been anxious/depressed	Yes	all	50-64	678502	true
	mh6 - Friends/family have been anxious/depressed	Yes	all	65+	678503	true
	mh6 - Friends/family have been anxious/depressed	Yes	all	Don't know/Refused	678505	true
	mh6 - Friends/family have been anxious/depressed	Yes	all	all	678507	true
	mh6 - Friends/family have been anxious/depressed	Yes	female	15-29	678509	true
	mh6 - Friends/family have been anxious/depressed	Yes	female	30-49	678511	true
	mh6 - Friends/family have been anxious/depressed	Yes	female	50-64	678513	true
	mh6 - Friends/family have been anxious/depressed	Yes	female	65+	678515	true
	mh6 - Friends/family have been anxious/depressed	Yes	female	Don't know/Refused	678517	true
	mh6 - Friends/family have been anxious/depressed	Yes	female	all	678520	true
	mh6 - Friends/family have been anxious/depressed	Yes	male	15-29	678521	true
	mh6 - Friends/family have been anxious/depressed	Yes	male	30-49	678524	true
	mh6 - Friends/family have been anxious/depressed	Yes	male	50-64	678525	true
	mh6 - Friends/family have been anxious/depressed	Yes	male	65+	678527	true
	mh6 - Friends/family have been anxious/depressed	Yes	male	Don't know/Refused	678528	true
	mh6 - Friends/family have been anxious/depressed	Yes	male	all	678531	true
	mh7a - Have been anxious/depressed	Don't know/Refused	all	15-29	678534	true
	mh7a - Have been anxious/depressed	Don't know/Refused	all	30-49	678536	true
	mh7a - Have been anxious/depressed	Don't know/Refused	all	50-64	678537	true
	mh7a - Have been anxious/depressed	Don't know/Refused	all	65+	678538	true
	mh7a - Have been anxious/depressed	Don't know/Refused	all	Don't know/Refused	678541	true
	mh7a - Have been anxious/depressed	Don't know/Refused	all	all	678544	true
	mh7a - Have been anxious/depressed	Don't know/Refused	female	15-29	678545	true
	mh7a - Have been anxious/depressed	Don't know/Refused	female	30-49	678547	true
	mh7a - Have been anxious/depressed	Don't know/Refused	female	50-64	678549	true
	mh7a - Have been anxious/depressed	Don't know/Refused	female	65+	678551	true
	mh7a - Have been anxious/depressed	Don't know/Refused	female	Don't know/Refused	678554	true
	mh7a - Have been anxious/depressed	Don't know/Refused	female	all	678555	true
	mh7a - Have been anxious/depressed	Don't know/Refused	male	15-29	678557	true
	mh7a - Have been anxious/depressed	Don't know/Refused	male	30-49	678559	true
	mh7a - Have been anxious/depressed	Don't know/Refused	male	50-64	678561	true
	mh7a - Have been anxious/depressed	Don't know/Refused	male	65+	678563	true
	mh7a - Have been anxious/depressed	Don't know/Refused	male	Don't know/Refused	678565	true
	mh7a - Have been anxious/depressed	Don't know/Refused	male	all	678567	true
	mh7a - Have been anxious/depressed	No	all	15-29	678569	true
	mh7a - Have been anxious/depressed	No	all	30-49	678571	true
	mh7a - Have been anxious/depressed	No	all	50-64	678574	true
	mh7a - Have been anxious/depressed	No	all	65+	678575	true
	mh7a - Have been anxious/depressed	No	all	Don't know/Refused	678577	true
	mh7a - Have been anxious/depressed	No	all	all	678579	true
	mh7a - Have been anxious/depressed	No	female	15-29	678581	true
	mh7a - Have been anxious/depressed	No	female	30-49	678583	true
	mh7a - Have been anxious/depressed	No	female	50-64	678585	true
	mh7a - Have been anxious/depressed	No	female	65+	678587	true
	mh7a - Have been anxious/depressed	No	female	Don't know/Refused	678589	true
	mh7a - Have been anxious/depressed	No	female	all	678591	true
	mh7a - Have been anxious/depressed	No	male	15-29	678593	true
	mh7a - Have been anxious/depressed	No	male	30-49	678595	true
	mh7a - Have been anxious/depressed	No	male	50-64	678597	true
	mh7a - Have been anxious/depressed	No	male	65+	678599	true
	mh7a - Have been anxious/depressed	No	male	Don't know/Refused	678601	true
	mh7a - Have been anxious/depressed	No	male	all	678602	true
	mh7a - Have been anxious/depressed	Yes	all	15-29	678605	true
	mh7a - Have been anxious/depressed	Yes	all	30-49	678607	true
	mh7a - Have been anxious/depressed	Yes	all	50-64	678609	true
	mh7a - Have been anxious/depressed	Yes	all	65+	678611	true
	mh7a - Have been anxious/depressed	Yes	all	Don't know/Refused	678613	true
	mh7a - Have been anxious/depressed	Yes	all	all	678614	true
	mh7a - Have been anxious/depressed	Yes	female	15-29	678617	true
	mh7a - Have been anxious/depressed	Yes	female	30-49	678618	true
	mh7a - Have been anxious/depressed	Yes	female	50-64	678621	true
	mh7a - Have been anxious/depressed	Yes	female	65+	678623	true
	mh7a - Have been anxious/depressed	Yes	female	Don't know/Refused	678626	true
	mh7a - Have been anxious/depressed	Yes	female	all	678627	true
	mh7a - Have been anxious/depressed	Yes	male	15-29	678629	true
	mh7a - Have been anxious/depressed	Yes	male	30-49	678631	true
	mh7a - Have been anxious/depressed	Yes	male	50-64	678633	true
	mh7a - Have been anxious/depressed	Yes	male	65+	678634	true
	mh7a - Have been anxious/depressed	Yes	male	Don't know/Refused	678637	true
	mh7a - Have been anxious/depressed	Yes	male	all	678639	true
	mh7b_2 - Age range when first felt anxious/depressed	Ages 13-19	all	15-29	678641	true
	mh7b_2 - Age range when first felt anxious/depressed	Ages 13-19	all	30-49	678643	true
	mh7b_2 - Age range when first felt anxious/depressed	Ages 13-19	all	50-64	678645	true
	mh7b_2 - Age range when first felt anxious/depressed	Ages 13-19	all	all	678647	true
	mh7b_2 - Age range when first felt anxious/depressed	Ages 13-19	female	15-29	678649	true
	mh7b_2 - Age range when first felt anxious/depressed	Ages 13-19	female	30-49	678651	true
	mh7b_2 - Age range when first felt anxious/depressed	Ages 13-19	female	all	678653	true
	mh7b_2 - Age range when first felt anxious/depressed	Ages 13-19	male	15-29	678655	true
	mh7b_2 - Age range when first felt anxious/depressed	Ages 13-19	male	30-49	678658	true
	mh7b_2 - Age range when first felt anxious/depressed	Ages 13-19	male	all	678659	true
	mh7b_2 - Age range when first felt anxious/depressed	Ages 20-29	all	15-29	678662	true
	mh7b_2 - Age range when first felt anxious/depressed	Ages 20-29	all	30-49	678663	true
	mh7b_2 - Age range when first felt anxious/depressed	Ages 20-29	all	50-64	678665	true
	mh7b_2 - Age range when first felt anxious/depressed	Ages 20-29	all	all	678667	true
	mh7b_2 - Age range when first felt anxious/depressed	Ages 20-29	female	15-29	678669	true
	mh7b_2 - Age range when first felt anxious/depressed	Ages 20-29	female	30-49	678671	true
	mh7b_2 - Age range when first felt anxious/depressed	Ages 20-29	female	all	678673	true
	mh7b_2 - Age range when first felt anxious/depressed	Ages 20-29	male	15-29	678674	true
	mh7b_2 - Age range when first felt anxious/depressed	Ages 20-29	male	30-49	678677	true
	mh7b_2 - Age range when first felt anxious/depressed	Ages 20-29	male	all	678679	true
	mh7b_2 - Age range when first felt anxious/depressed	Ages 30-39	all	15-29	678680	true
	mh7b_2 - Age range when first felt anxious/depressed	Ages 30-39	all	30-49	678683	true
	mh7b_2 - Age range when first felt anxious/depressed	Ages 30-39	all	50-64	678685	true
	mh7b_2 - Age range when first felt anxious/depressed	Ages 30-39	all	all	678687	true
	mh7b_2 - Age range when first felt anxious/depressed	Ages 30-39	female	15-29	678689	true
	mh7b_2 - Age range when first felt anxious/depressed	Ages 30-39	female	30-49	678692	true
	mh7b_2 - Age range when first felt anxious/depressed	Ages 30-39	female	all	678693	true
	mh7b_2 - Age range when first felt anxious/depressed	Ages 30-39	male	15-29	678695	true
	mh7b_2 - Age range when first felt anxious/depressed	Ages 30-39	male	30-49	678697	true
	mh7b_2 - Age range when first felt anxious/depressed	Ages 30-39	male	all	678699	true
	mh7b_2 - Age range when first felt anxious/depressed	Ages <13	all	15-29	678701	true
	mh7b_2 - Age range when first felt anxious/depressed	Ages <13	all	50-64	678703	true
	mh7b_2 - Age range when first felt anxious/depressed	Ages <13	all	30-49	678704	true
	mh7b_2 - Age range when first felt anxious/depressed	Ages <13	all	all	678707	true
	mh7b_2 - Age range when first felt anxious/depressed	Ages <13	female	15-29	678709	true
	mh7b_2 - Age range when first felt anxious/depressed	Ages <13	female	30-49	678711	true
	mh7b_2 - Age range when first felt anxious/depressed	Ages <13	female	all	678713	true
	mh7b_2 - Age range when first felt anxious/depressed	Ages <13	male	15-29	678715	true
	mh7b_2 - Age range when first felt anxious/depressed	Ages <13	male	30-49	678717	true
	mh7b_2 - Age range when first felt anxious/depressed	Ages <13	male	all	678719	true
	mh7b_2 - Age range when first felt anxious/depressed	Ages ≥40	all	15-29	678722	true
	mh7b_2 - Age range when first felt anxious/depressed	Ages ≥40	all	30-49	678723	true
	mh7b_2 - Age range when first felt anxious/depressed	Ages ≥40	all	50-64	678725	true
	mh7b_2 - Age range when first felt anxious/depressed	Ages ≥40	all	all	678727	true
	mh7b_2 - Age range when first felt anxious/depressed	Ages ≥40	female	15-29	678729	true
	mh7b_2 - Age range when first felt anxious/depressed	Ages ≥40	female	30-49	678731	true
	mh7b_2 - Age range when first felt anxious/depressed	Ages ≥40	female	all	678733	true
	mh7b_2 - Age range when first felt anxious/depressed	Ages ≥40	male	15-29	678735	true
	mh7b_2 - Age range when first felt anxious/depressed	Ages ≥40	male	30-49	678737	true
	mh7b_2 - Age range when first felt anxious/depressed	Ages ≥40	male	all	678739	true
	mh7b_2 - Age range when first felt anxious/depressed	Don't know/Refused	all	15-29	678742	true
	mh7b_2 - Age range when first felt anxious/depressed	Don't know/Refused	all	30-49	678743	true
	mh7b_2 - Age range when first felt anxious/depressed	Don't know/Refused	all	50-64	678745	true
	mh7b_2 - Age range when first felt anxious/depressed	Don't know/Refused	all	all	678747	true
	mh7b_2 - Age range when first felt anxious/depressed	Don't know/Refused	female	30-49	678750	true
	mh7b_2 - Age range when first felt anxious/depressed	Don't know/Refused	female	15-29	678751	true
	mh7b_2 - Age range when first felt anxious/depressed	Don't know/Refused	female	all	678752	true
	mh7b_2 - Age range when first felt anxious/depressed	Don't know/Refused	male	15-29	678755	true
	mh7b_2 - Age range when first felt anxious/depressed	Don't know/Refused	male	30-49	678757	true
	mh7b_2 - Age range when first felt anxious/depressed	Don't know/Refused	male	all	678759	true
	mh7c - Have felt anxious/depressed more than once	Don't know/Refused	all	15-29	678761	true
	mh7c - Have felt anxious/depressed more than once	Don't know/Refused	all	30-49	678764	true
	mh7c - Have felt anxious/depressed more than once	Don't know/Refused	all	50-64	678765	true
	mh7c - Have felt anxious/depressed more than once	Don't know/Refused	all	65+	678768	true
	mh7c - Have felt anxious/depressed more than once	Don't know/Refused	all	Don't know/Refused	678769	true
	mh7c - Have felt anxious/depressed more than once	Don't know/Refused	all	all	678771	true
	mh7c - Have felt anxious/depressed more than once	Don't know/Refused	female	15-29	678773	true
	mh7c - Have felt anxious/depressed more than once	Don't know/Refused	female	30-49	678775	true
	mh7c - Have felt anxious/depressed more than once	Don't know/Refused	female	50-64	678778	true
	mh7c - Have felt anxious/depressed more than once	Don't know/Refused	female	65+	678779	true
	mh7c - Have felt anxious/depressed more than once	Don't know/Refused	female	all	678781	true
	mh7c - Have felt anxious/depressed more than once	Don't know/Refused	male	15-29	678783	true
	mh7c - Have felt anxious/depressed more than once	Don't know/Refused	male	30-49	678785	true
	mh7c - Have felt anxious/depressed more than once	Don't know/Refused	male	50-64	678787	true
	mh7c - Have felt anxious/depressed more than once	Don't know/Refused	male	65+	678789	true
	mh7c - Have felt anxious/depressed more than once	Don't know/Refused	male	all	678791	true
	mh7c - Have felt anxious/depressed more than once	No	all	15-29	678793	true
	mh7c - Have felt anxious/depressed more than once	No	all	30-49	678796	true
	mh7c - Have felt anxious/depressed more than once	No	all	50-64	678797	true
	mh7c - Have felt anxious/depressed more than once	No	all	65+	678799	true
	mh7c - Have felt anxious/depressed more than once	No	all	Don't know/Refused	678801	true
	mh7c - Have felt anxious/depressed more than once	No	all	all	678803	true
	mh7c - Have felt anxious/depressed more than once	No	female	15-29	678805	true
	mh7c - Have felt anxious/depressed more than once	No	female	30-49	678807	true
	mh7c - Have felt anxious/depressed more than once	No	female	50-64	678809	true
	mh7c - Have felt anxious/depressed more than once	No	female	65+	678811	true
	mh7c - Have felt anxious/depressed more than once	No	female	all	678813	true
	mh7c - Have felt anxious/depressed more than once	No	male	15-29	678815	true
	mh7c - Have felt anxious/depressed more than once	No	male	30-49	678817	true
	mh7c - Have felt anxious/depressed more than once	No	male	50-64	678819	true
	mh7c - Have felt anxious/depressed more than once	No	male	65+	678821	true
	mh7c - Have felt anxious/depressed more than once	No	male	all	678823	true
	mh7c - Have felt anxious/depressed more than once	Yes	all	15-29	678825	true
	mh7c - Have felt anxious/depressed more than once	Yes	all	30-49	678827	true
	mh7c - Have felt anxious/depressed more than once	Yes	all	50-64	678829	true
	mh7c - Have felt anxious/depressed more than once	Yes	all	65+	678831	true
	mh7c - Have felt anxious/depressed more than once	Yes	all	Don't know/Refused	678833	true
	mh7c - Have felt anxious/depressed more than once	Yes	all	all	678835	true
	mh7c - Have felt anxious/depressed more than once	Yes	female	15-29	678837	true
	mh7c - Have felt anxious/depressed more than once	Yes	female	30-49	678838	true
	mh7c - Have felt anxious/depressed more than once	Yes	female	65+	678842	true
	mh7c - Have felt anxious/depressed more than once	Yes	female	50-64	678843	true
	mh7c - Have felt anxious/depressed more than once	Yes	female	all	678844	true
	mh7c - Have felt anxious/depressed more than once	Yes	male	15-29	678847	true
	mh7c - Have felt anxious/depressed more than once	Yes	male	30-49	678848	true
	mh7c - Have felt anxious/depressed more than once	Yes	male	50-64	678851	true
	mh7c - Have felt anxious/depressed more than once	Yes	male	65+	678853	true
	mh7c - Have felt anxious/depressed more than once	Yes	male	all	678856	true
	mh8a - Talked to mental health professional when anxious/depressed	Don't know/Refused	all	15-29	678857	true
	mh8a - Talked to mental health professional when anxious/depressed	Don't know/Refused	all	30-49	678859	true
	mh8a - Talked to mental health professional when anxious/depressed	Don't know/Refused	all	50-64	678861	true
	mh8a - Talked to mental health professional when anxious/depressed	Don't know/Refused	all	65+	678863	true
	mh8a - Talked to mental health professional when anxious/depressed	Don't know/Refused	all	Don't know/Refused	678865	true
	mh8a - Talked to mental health professional when anxious/depressed	Don't know/Refused	all	all	678867	true
	mh8a - Talked to mental health professional when anxious/depressed	Don't know/Refused	female	15-29	678869	true
	mh8a - Talked to mental health professional when anxious/depressed	Don't know/Refused	female	30-49	678871	true
	mh8a - Talked to mental health professional when anxious/depressed	Don't know/Refused	female	50-64	678873	true
	mh8a - Talked to mental health professional when anxious/depressed	Don't know/Refused	female	65+	678875	true
	mh8a - Talked to mental health professional when anxious/depressed	Don't know/Refused	female	all	678877	true
	mh8a - Talked to mental health professional when anxious/depressed	Don't know/Refused	male	15-29	678879	true
	mh8a - Talked to mental health professional when anxious/depressed	Don't know/Refused	male	30-49	678881	true
	mh8a - Talked to mental health professional when anxious/depressed	Don't know/Refused	male	50-64	678883	true
	mh8a - Talked to mental health professional when anxious/depressed	Don't know/Refused	male	65+	678885	true
	mh8a - Talked to mental health professional when anxious/depressed	Don't know/Refused	male	all	678887	true
	mh8a - Talked to mental health professional when anxious/depressed	No	all	30-49	678889	true
	mh8a - Talked to mental health professional when anxious/depressed	No	all	15-29	678891	true
	mh8a - Talked to mental health professional when anxious/depressed	No	all	50-64	678893	true
	mh8a - Talked to mental health professional when anxious/depressed	No	all	65+	678895	true
	mh8a - Talked to mental health professional when anxious/depressed	No	all	Don't know/Refused	678897	true
	mh8a - Talked to mental health professional when anxious/depressed	No	all	all	678898	true
	mh8a - Talked to mental health professional when anxious/depressed	No	female	15-29	678901	true
	mh8a - Talked to mental health professional when anxious/depressed	No	female	50-64	678903	true
	mh8a - Talked to mental health professional when anxious/depressed	No	female	30-49	678904	true
	mh8a - Talked to mental health professional when anxious/depressed	No	female	65+	678907	true
	mh8a - Talked to mental health professional when anxious/depressed	No	female	all	678909	true
	mh8a - Talked to mental health professional when anxious/depressed	No	male	15-29	678910	true
	mh8a - Talked to mental health professional when anxious/depressed	No	male	30-49	678914	true
	mh8a - Talked to mental health professional when anxious/depressed	No	male	50-64	678916	true
	mh8a - Talked to mental health professional when anxious/depressed	No	male	65+	678917	true
	mh8a - Talked to mental health professional when anxious/depressed	No	male	all	678919	true
	mh8a - Talked to mental health professional when anxious/depressed	Yes	all	15-29	678920	true
	mh8a - Talked to mental health professional when anxious/depressed	Yes	all	30-49	678922	true
	mh8a - Talked to mental health professional when anxious/depressed	Yes	all	50-64	678925	true
	mh8a - Talked to mental health professional when anxious/depressed	Yes	all	65+	678928	true
	mh8a - Talked to mental health professional when anxious/depressed	Yes	all	Don't know/Refused	678930	true
	mh8a - Talked to mental health professional when anxious/depressed	Yes	all	all	678931	true
	mh8a - Talked to mental health professional when anxious/depressed	Yes	female	15-29	678934	true
	mh8a - Talked to mental health professional when anxious/depressed	Yes	female	30-49	678935	true
	mh8a - Talked to mental health professional when anxious/depressed	Yes	female	50-64	678937	true
	mh8a - Talked to mental health professional when anxious/depressed	Yes	female	65+	678940	true
	mh8a - Talked to mental health professional when anxious/depressed	Yes	female	all	678941	true
	mh8a - Talked to mental health professional when anxious/depressed	Yes	male	15-29	678942	true
	mh8a - Talked to mental health professional when anxious/depressed	Yes	male	30-49	678945	true
	mh8a - Talked to mental health professional when anxious/depressed	Yes	male	50-64	678947	true
	mh8a - Talked to mental health professional when anxious/depressed	Yes	male	65+	678949	true
	mh8a - Talked to mental health professional when anxious/depressed	Yes	male	all	678951	true
	mh8b - Engaged in religious/spiritual activities when anxious/depressed	Don't know/Refused	all	15-29	678953	true
	mh8b - Engaged in religious/spiritual activities when anxious/depressed	Don't know/Refused	all	30-49	678955	true
	mh8b - Engaged in religious/spiritual activities when anxious/depressed	Don't know/Refused	all	50-64	678957	true
	mh8b - Engaged in religious/spiritual activities when anxious/depressed	Don't know/Refused	all	65+	678958	true
	mh8b - Engaged in religious/spiritual activities when anxious/depressed	Don't know/Refused	all	Don't know/Refused	678961	true
	mh8b - Engaged in religious/spiritual activities when anxious/depressed	Don't know/Refused	all	all	678962	true
	mh8b - Engaged in religious/spiritual activities when anxious/depressed	Don't know/Refused	female	15-29	678966	true
	mh8b - Engaged in religious/spiritual activities when anxious/depressed	Don't know/Refused	female	30-49	678967	true
	mh8b - Engaged in religious/spiritual activities when anxious/depressed	Don't know/Refused	female	50-64	678969	true
	mh8b - Engaged in religious/spiritual activities when anxious/depressed	Don't know/Refused	female	65+	678971	true
	mh8b - Engaged in religious/spiritual activities when anxious/depressed	Don't know/Refused	female	all	678973	true
	mh8b - Engaged in religious/spiritual activities when anxious/depressed	Don't know/Refused	male	15-29	678976	true
	mh8b - Engaged in religious/spiritual activities when anxious/depressed	Don't know/Refused	male	30-49	678977	true
	mh8b - Engaged in religious/spiritual activities when anxious/depressed	Don't know/Refused	male	50-64	678978	true
	mh8b - Engaged in religious/spiritual activities when anxious/depressed	Don't know/Refused	male	65+	678981	true
	mh8b - Engaged in religious/spiritual activities when anxious/depressed	Don't know/Refused	male	all	678984	true
	mh8b - Engaged in religious/spiritual activities when anxious/depressed	No	all	15-29	678986	true
	mh8b - Engaged in religious/spiritual activities when anxious/depressed	No	all	30-49	678987	true
	mh8b - Engaged in religious/spiritual activities when anxious/depressed	No	all	50-64	678989	true
	mh8b - Engaged in religious/spiritual activities when anxious/depressed	No	all	65+	678991	true
	mh8b - Engaged in religious/spiritual activities when anxious/depressed	No	all	Don't know/Refused	678993	true
	mh8b - Engaged in religious/spiritual activities when anxious/depressed	No	all	all	678995	true
	mh8b - Engaged in religious/spiritual activities when anxious/depressed	No	female	15-29	678997	true
	mh8b - Engaged in religious/spiritual activities when anxious/depressed	No	female	30-49	678999	true
	mh8b - Engaged in religious/spiritual activities when anxious/depressed	No	female	50-64	679000	true
	mh8b - Engaged in religious/spiritual activities when anxious/depressed	No	female	65+	679003	true
	mh8b - Engaged in religious/spiritual activities when anxious/depressed	No	female	all	679006	true
	mh8b - Engaged in religious/spiritual activities when anxious/depressed	No	male	15-29	679007	true
	mh8b - Engaged in religious/spiritual activities when anxious/depressed	No	male	30-49	679009	true
	mh8b - Engaged in religious/spiritual activities when anxious/depressed	No	male	50-64	679011	true
	mh8b - Engaged in religious/spiritual activities when anxious/depressed	No	male	65+	679013	true
	mh8b - Engaged in religious/spiritual activities when anxious/depressed	No	male	all	679015	true
	mh8b - Engaged in religious/spiritual activities when anxious/depressed	Yes	all	15-29	679017	true
	mh8b - Engaged in religious/spiritual activities when anxious/depressed	Yes	all	30-49	679018	true
	mh8b - Engaged in religious/spiritual activities when anxious/depressed	Yes	all	50-64	679021	true
	mh8b - Engaged in religious/spiritual activities when anxious/depressed	Yes	all	65+	679023	true
	mh8b - Engaged in religious/spiritual activities when anxious/depressed	Yes	all	Don't know/Refused	679025	true
	mh8b - Engaged in religious/spiritual activities when anxious/depressed	Yes	all	all	679027	true
	mh8b - Engaged in religious/spiritual activities when anxious/depressed	Yes	female	15-29	679029	true
	mh8b - Engaged in religious/spiritual activities when anxious/depressed	Yes	female	30-49	679030	true
	mh8b - Engaged in religious/spiritual activities when anxious/depressed	Yes	female	50-64	679033	true
	mh8b - Engaged in religious/spiritual activities when anxious/depressed	Yes	female	65+	679036	true
	mh8b - Engaged in religious/spiritual activities when anxious/depressed	Yes	female	all	679037	true
	mh8b - Engaged in religious/spiritual activities when anxious/depressed	Yes	male	15-29	679039	true
	mh8b - Engaged in religious/spiritual activities when anxious/depressed	Yes	male	30-49	679041	true
	mh8b - Engaged in religious/spiritual activities when anxious/depressed	Yes	male	50-64	679042	true
	mh8b - Engaged in religious/spiritual activities when anxious/depressed	Yes	male	all	679045	true
	mh8b - Engaged in religious/spiritual activities when anxious/depressed	Yes	male	65+	679046	true
	mh8c - Talked to friends or family when anxious/depressed	Don't know/Refused	all	15-29	679049	true
	mh8c - Talked to friends or family when anxious/depressed	Don't know/Refused	all	30-49	679051	true
	mh8c - Talked to friends or family when anxious/depressed	Don't know/Refused	all	50-64	679053	true
	mh8c - Talked to friends or family when anxious/depressed	Don't know/Refused	all	65+	679055	true
	mh8c - Talked to friends or family when anxious/depressed	Don't know/Refused	all	Don't know/Refused	679057	true
	mh8c - Talked to friends or family when anxious/depressed	Don't know/Refused	all	all	679059	true
	mh8c - Talked to friends or family when anxious/depressed	Don't know/Refused	female	15-29	679061	true
	mh8c - Talked to friends or family when anxious/depressed	Don't know/Refused	female	30-49	679063	true
	mh8c - Talked to friends or family when anxious/depressed	Don't know/Refused	female	50-64	679064	true
	mh8c - Talked to friends or family when anxious/depressed	Don't know/Refused	female	65+	679067	true
	mh8c - Talked to friends or family when anxious/depressed	Don't know/Refused	female	all	679069	true
	mh8c - Talked to friends or family when anxious/depressed	Don't know/Refused	male	15-29	679071	true
	mh8c - Talked to friends or family when anxious/depressed	Don't know/Refused	male	30-49	679073	true
	mh8c - Talked to friends or family when anxious/depressed	Don't know/Refused	male	50-64	679075	true
	mh8c - Talked to friends or family when anxious/depressed	Don't know/Refused	male	65+	679077	true
	mh8c - Talked to friends or family when anxious/depressed	Don't know/Refused	male	all	679079	true
	mh8c - Talked to friends or family when anxious/depressed	No	all	15-29	679081	true
	mh8c - Talked to friends or family when anxious/depressed	No	all	30-49	679083	true
	mh8c - Talked to friends or family when anxious/depressed	No	all	50-64	679085	true
	mh8c - Talked to friends or family when anxious/depressed	No	all	65+	679087	true
	mh8c - Talked to friends or family when anxious/depressed	No	all	Don't know/Refused	679089	true
	mh8c - Talked to friends or family when anxious/depressed	No	all	all	679091	true
	mh8c - Talked to friends or family when anxious/depressed	No	female	15-29	679093	true
	mh8c - Talked to friends or family when anxious/depressed	No	female	30-49	679095	true
	mh8c - Talked to friends or family when anxious/depressed	No	female	50-64	679097	true
	mh8c - Talked to friends or family when anxious/depressed	No	female	65+	679099	true
	mh8c - Talked to friends or family when anxious/depressed	No	female	all	679100	true
	mh8c - Talked to friends or family when anxious/depressed	No	male	15-29	679103	true
	mh8c - Talked to friends or family when anxious/depressed	No	male	30-49	679105	true
	mh8c - Talked to friends or family when anxious/depressed	No	male	50-64	679106	true
	mh8c - Talked to friends or family when anxious/depressed	No	male	65+	679109	true
	mh8c - Talked to friends or family when anxious/depressed	No	male	all	679111	true
	mh8c - Talked to friends or family when anxious/depressed	Yes	all	15-29	679113	true
	mh8c - Talked to friends or family when anxious/depressed	Yes	all	30-49	679115	true
	mh8c - Talked to friends or family when anxious/depressed	Yes	all	50-64	679117	true
	mh8c - Talked to friends or family when anxious/depressed	Yes	all	Don't know/Refused	679119	true
	mh8c - Talked to friends or family when anxious/depressed	Yes	all	65+	679120	true
	mh8c - Talked to friends or family when anxious/depressed	Yes	all	all	679124	true
	mh8c - Talked to friends or family when anxious/depressed	Yes	female	15-29	679125	true
	mh8c - Talked to friends or family when anxious/depressed	Yes	female	30-49	679127	true
	mh8c - Talked to friends or family when anxious/depressed	Yes	female	50-64	679128	true
	mh8c - Talked to friends or family when anxious/depressed	Yes	female	65+	679131	true
	mh8c - Talked to friends or family when anxious/depressed	Yes	female	all	679133	true
	mh8c - Talked to friends or family when anxious/depressed	Yes	male	15-29	679135	true
	mh8c - Talked to friends or family when anxious/depressed	Yes	male	30-49	679137	true
	mh8c - Talked to friends or family when anxious/depressed	Yes	male	50-64	679139	true
	mh8c - Talked to friends or family when anxious/depressed	Yes	male	all	679141	true
	mh8c - Talked to friends or family when anxious/depressed	Yes	male	65+	679142	true
	mh8d - Took prescribed medication when anxious/depressed	Don't know/Refused	all	15-29	679145	true
	mh8d - Took prescribed medication when anxious/depressed	Don't know/Refused	all	30-49	679147	true
	mh8d - Took prescribed medication when anxious/depressed	Don't know/Refused	all	50-64	679149	true
	mh8d - Took prescribed medication when anxious/depressed	Don't know/Refused	all	65+	679151	true
	mh8d - Took prescribed medication when anxious/depressed	Don't know/Refused	all	Don't know/Refused	679153	true
	mh8d - Took prescribed medication when anxious/depressed	Don't know/Refused	all	all	679156	true
	mh8d - Took prescribed medication when anxious/depressed	Don't know/Refused	female	15-29	679157	true
	mh8d - Took prescribed medication when anxious/depressed	Don't know/Refused	female	30-49	679159	true
	mh8d - Took prescribed medication when anxious/depressed	Don't know/Refused	female	50-64	679161	true
	mh8d - Took prescribed medication when anxious/depressed	Don't know/Refused	female	65+	679164	true
	mh8d - Took prescribed medication when anxious/depressed	Don't know/Refused	female	all	679165	true
	mh8d - Took prescribed medication when anxious/depressed	Don't know/Refused	male	15-29	679167	true
	mh8d - Took prescribed medication when anxious/depressed	Don't know/Refused	male	30-49	679169	true
	mh8d - Took prescribed medication when anxious/depressed	Don't know/Refused	male	50-64	679171	true
	mh8d - Took prescribed medication when anxious/depressed	Don't know/Refused	male	65+	679173	true
	mh8d - Took prescribed medication when anxious/depressed	Don't know/Refused	male	all	679175	true
	mh8d - Took prescribed medication when anxious/depressed	No	all	15-29	679177	true
	mh8d - Took prescribed medication when anxious/depressed	No	all	30-49	679179	true
	mh8d - Took prescribed medication when anxious/depressed	No	all	50-64	679181	true
	mh8d - Took prescribed medication when anxious/depressed	No	all	65+	679183	true
	mh8d - Took prescribed medication when anxious/depressed	No	all	Don't know/Refused	679185	true
	mh8d - Took prescribed medication when anxious/depressed	No	all	all	679187	true
